Articulation,Blazepose - Vicon,Kinect - Vicon,Openpose - Vicon
Right_Forearm,0.3102+-0.0694,0.3232+-0.0644,0.1423+-0.0387
Left_Forearm,0.3290+-0.0884,0.1899+-0.0573,0.2490+-0.0742
Right_Arm,0.2282+-0.0616,0.2788+-0.0442,0.0880+-0.0228
Left_Arm,0.2931+-0.0571,0.1364+-0.0378,0.2425+-0.0458
Chest,0.1368+-0.0198,0.1097+-0.0188,0.0799+-0.0093
Right_Tigh,0.1611+-0.0332,0.0862+-0.0333,0.1510+-0.0369
Left_Tigh,0.1036+-0.0372,0.1457+-0.0382,0.0666+-0.0514
Right_Shoulder,0.2436+-0.0525,0.2456+-0.0381,0.1159+-0.0204
Left_Shoulder,0.2802+-0.0429,0.1777+-0.0285,0.1937+-0.0179
Right_Hand,0.4125+-0.0811,0.3731+-0.0848,nan+-nan
Left_Hand,0.3914+-0.1423,0.2677+-0.0757,nan+-nan
Right_Foot,0.3607+-0.0996,0.2078+-0.0866,nan+-nan
Left_Foot,0.2800+-0.1132,0.3246+-0.0845,nan+-nan
Hips,nan+-nan,nan+-nan,nan+-nan
Head,0.4217+-0.0586,0.2913+-0.0423,0.2037+-0.0247
Right_Tibia,0.2756+-0.0783,0.1308+-0.0800,0.2759+-0.0602
Left_Tibia,0.1754+-0.0952,0.2532+-0.0668,0.1645+-0.0711
average,0.2752+-0.0706,0.2214+-0.0551,0.1644+-0.0395
