std,Error_blazeOpen_par_mvt,Error_KintOpen_par_mvt,Error_blazeKint_sansP_par_mvt,Error_blazeKint_avecP_par_mvt
Head,0.1513+-0.1245,0.0589+-0.0091,0.1610+-0.1137,0.1998+-0.1026
mShoulder,0.1447+-0.1250,nan+-nan,0.1437+-0.1248,0.1437+-0.1248
rShoulder,0.1450+-0.1231,0.0368+-0.0068,0.1270+-0.1198,0.1499+-0.1148
rElbow,0.1705+-0.1208,0.1193+-0.0203,0.1636+-0.1069,0.2469+-0.0999
rWrist,0.2027+-0.1243,0.1995+-0.0396,0.2194+-0.1023,0.3335+-0.0990
lShoulder,0.1488+-0.1248,0.0367+-0.0068,0.1690+-0.1280,0.1884+-0.1228
lElbow,0.1706+-0.1213,0.1174+-0.0193,0.2215+-0.1247,0.2856+-0.1149
lWrist,0.1958+-0.1169,0.1991+-0.0361,0.2735+-0.1168,0.3698+-0.1079
rHip,0.1378+-0.1157,0.2163+-0.0312,0.2773+-0.0998,0.2953+-0.0954
rKnee,0.1388+-0.1137,0.3734+-0.0517,0.4050+-0.0908,0.4669+-0.0984
rAnkle,0.1373+-0.1156,0.6661+-0.0899,0.6830+-0.1152,0.7374+-0.1121
lHip,0.1377+-0.1161,0.2162+-0.0311,0.2932+-0.1059,0.3118+-0.1008
lKnee,0.1362+-0.1108,0.3743+-0.0520,0.4378+-0.1016,0.4868+-0.1002
lAnkle,0.1330+-0.1075,0.6673+-0.0879,0.7063+-0.1124,0.7527+-0.1102
average,0.1535+-0.1185,0.2524+-0.0371,0.3058+-0.1116,0.3548+-0.1074
