std,Error_blazeOpen_par_mvt,Error_KintOpen_par_mvt,Error_blazeKint_sansP_par_mvt,Error_blazeKint_avecP_par_mvt
Head,0.1245,0.0091,0.1137,0.1026
mShoulder,0.125,nan,0.1248,0.1248
rShoulder,0.1231,0.0068,0.1198,0.1148
rElbow,0.1208,0.0203,0.1069,0.0999
rWrist,0.1243,0.0396,0.1023,0.099
lShoulder,0.1248,0.0068,0.128,0.1228
lElbow,0.1213,0.0193,0.1247,0.1149
lWrist,0.1169,0.0361,0.1168,0.1079
rHip,0.1157,0.0312,0.0998,0.0954
rKnee,0.1137,0.0517,0.0908,0.0984
rAnkle,0.1156,0.0899,0.1152,0.1121
lHip,0.1161,0.0311,0.1059,0.1008
lKnee,0.1108,0.052,0.1016,0.1002
lAnkle,0.1075,0.0879,0.1124,0.1102
average,0.118578571,0.037061538,0.111621429,0.107414286
